,index,ID  объявления,col_rooms,price,ceiling_height,metro_time,full_area,num_floors,floor,coord_y,coord_x,furnished,elevator,garbage_chute,repair,windows,balcony,bathroom,child_pet
0,0,271271157,4,500000,3.0,27.0,200.0,16.0,5.0,37.6010652,55.7529963,1,5,1,3,0,1,1,2
1,1,271634126,4,500000,3.5,24.0,198.0,16.0,5.0,37.6010652,55.7529963,1,2,0,3,2,1,3,1
2,2,271173086,4,500000,3.2,21.0,200.0,16.0,5.0,37.6010652,55.7529963,1,1,0,2,2,1,3,1
3,3,272197456,4,400000,3.2,9.0,170.0,6.0,5.0,37.5884595,55.7466,1,1,0,2,2,1,3,1
4,4,273614615,2,225000,3.9,21.0,58.0,26.0,12.0,37.6010652,55.7529963,1,2,1,2,2,1,2,0
5,5,274837728,3,470000,2.8,15.0,92.0,7.0,3.0,37.5800645,55.7488569,1,2,0,3,0,1,1,0
6,6,273643908,5,350000,3.2,12.0,213.0,5.0,4.0,37.6082261,55.7540606,1,1,0,2,2,1,2,2
7,7,274475342,3,250000,3.2,9.0,98.0,4.0,2.0,37.6003713,55.7522928,1,1,0,2,1,1,2,2
8,8,273973191,3,130000,3.0,27.0,120.0,10.0,5.0,37.5843882,55.7571675,0,1,0,2,0,1,1,1
10,10,271036964,4,290000,3.2,15.0,170.0,7.0,6.0,37.5923797,55.750692,1,1,0,2,2,1,3,1
11,11,273999490,3,100000,2.8,6.0,80.0,8.0,4.0,37.5843882,55.7571675,1,1,0,2,2,3,1,0
12,12,274017037,3,200000,2.8,24.0,100.0,4.0,2.0,37.5904659,55.7504695,1,1,0,3,1,1,2,2
13,13,273231024,5,500000,2.8,27.0,180.0,8.0,6.0,37.5871345,55.7510359,1,3,0,3,0,1,3,2
14,14,274839211,5,450000,2.8,15.0,222.2,9.0,5.0,37.598259,55.7487532,1,1,0,2,0,1,2,0
15,15,274767901,5,450000,2.8,18.0,225.0,9.0,5.0,37.598259,55.7487532,0,4,1,3,0,1,1,0
16,16,274995950,2,120000,2.8,30.0,30.0,26.0,19.0,37.6010652,55.7529963,1,2,0,2,0,1,1,2
17,17,274945807,5,450000,2.8,15.0,222.0,9.0,5.0,37.598259,55.7487532,1,2,0,3,0,1,1,2
18,18,272911145,5,180000,2.8,36.0,150.0,7.0,4.0,37.5871672,55.7572421,1,1,0,2,0,1,2,0
19,19,274748017,5,190000,3.2,18.0,201.0,3.0,3.0,37.598259,55.7487532,1,1,0,2,2,1,3,2
20,20,273941734,2,205000,2.8,27.0,64.0,26.0,12.0,37.6010652,55.7529963,1,2,0,2,0,1,2,2
21,21,274493570,3,230000,3.2,15.0,112.0,7.0,2.0,37.5927442,55.7473391,1,1,0,2,2,1,2,1
22,22,274849101,4,590000,2.8,15.0,190.0,5.0,4.0,37.5848813,55.7506364,1,2,0,3,0,1,1,0
23,23,223918678,5,850000,2.8,24.0,255.6,9.0,8.0,37.598259,55.7487532,1,2,0,2,1,1,3,2
24,24,274391259,5,190000,3.3,15.0,186.0,3.0,3.0,37.598259,55.7487532,1,2,1,2,2,1,2,2
25,25,272945376,3,200000,3.2,15.0,100.0,8.0,3.0,37.59991717460963,55.74794865,1,1,0,2,2,1,2,2
26,26,272612966,5,200000,2.8,33.0,150.0,7.0,4.0,37.5871672,55.7572421,1,1,0,2,1,1,2,0
27,27,271568490,5,300000,2.8,21.0,140.0,7.0,2.0,37.5884595,55.7466,1,1,0,3,0,1,1,1
28,28,264664760,3,400000,2.8,45.0,132.8,13.0,5.0,37.6010652,55.7529963,1,2,0,2,0,1,2,2
29,29,228923308,5,750000,3.0,30.0,256.0,10.0,8.0,37.598259,55.7487532,1,2,1,3,2,1,4,2
30,30,267489303,6,870000,4.0,15.0,380.0,6.0,3.0,37.6082261,55.7540606,1,1,1,1,2,1,3,2
31,31,273353104,3,350000,3.2,21.0,112.0,13.0,3.0,37.6010652,55.7529963,1,2,1,1,0,1,2,0
32,32,273353103,2,400000,3.2,21.0,91.0,13.0,10.0,37.6010652,55.7529963,1,2,1,1,0,1,2,0
33,33,268321690,3,400000,2.8,33.0,135.0,13.0,5.0,37.6010652,55.7529963,1,3,0,3,2,1,2,2
34,34,269496185,4,590000,3.2,9.0,190.0,5.0,4.0,37.5848813,55.7506364,1,2,0,3,2,1,2,1
35,35,272188531,2,135000,4.2,45.0,44.0,26.0,21.0,37.6010652,55.7529963,1,2,1,1,0,1,1,0
36,36,272727784,3,150000,2.8,0.0,85.0,7.0,7.0,37.6003713,55.7522928,1,2,0,2,0,1,1,2
37,37,267110043,2,320000,3.0,21.0,100.0,7.0,5.0,37.5800645,55.7488569,1,2,1,1,0,1,2,1
38,38,265323319,3,400000,3.2,21.0,133.3,13.0,5.0,37.6010652,55.7529963,1,2,1,1,0,1,2,1
39,39,265804792,4,400000,3.8,21.0,210.0,5.0,3.0,37.5884595,55.7466,1,2,1,1,2,1,3,1
40,40,239000408,4,450000,2.8,27.0,180.0,4.0,4.0,37.5899893,55.7543968,1,2,1,1,0,1,2,2
41,41,271209314,4,470000,3.4,15.0,165.0,16.0,9.0,37.6010652,55.7529963,1,2,1,1,0,1,2,1
42,42,269889430,4,590000,4.0,18.0,190.0,6.0,4.0,37.5848813,55.7506364,1,2,1,1,0,1,2,1
43,43,241704098,4,600000,3.4,15.0,168.0,16.0,4.0,37.6010652,55.7529963,1,2,1,1,0,1,2,1
44,44,239000331,5,850000,2.8,24.0,250.0,9.0,8.0,37.598259,55.7487532,1,2,1,1,0,1,3,1
45,45,272823500,3,150000,2.8,21.0,85.0,7.0,7.0,37.6003713,55.7522928,1,1,0,2,0,1,1,0
46,46,274402813,3,195000,2.8,15.0,105.0,17.0,6.0,37.5768877,55.7485672,1,2,0,2,2,1,3,2
47,47,270190788,3,300000,2.8,15.0,134.0,16.0,8.0,37.5768877,55.7485672,1,1,0,2,0,1,2,2
48,48,271265359,2,90000,3.2,15.0,60.0,6.0,5.0,37.6003713,55.7522928,1,1,0,2,2,1,1,1
49,49,274289253,3,150000,2.8,21.0,85.0,7.0,7.0,37.6003713,55.7522928,1,2,0,3,0,1,1,0
50,50,274150874,5,250000,2.8,12.0,150.0,6.0,4.0,37.6003713,55.7522928,1,2,0,3,0,1,1,0
51,51,274849686,4,350000,3.2,15.0,142.0,13.0,12.0,37.5800645,55.7488569,1,1,0,2,2,1,2,0
52,52,274315381,5,450000,2.8,18.0,222.0,9.0,7.0,37.598259,55.7487532,1,1,0,2,0,1,1,2
53,53,273779074,2,120000,3.6,21.0,60.0,6.0,3.0,37.5904659,55.7504695,0,1,0,1,0,1,1,2
54,54,274217247,3,120000,3.8,24.0,103.0,3.0,2.0,37.6003713,55.7522928,0,2,0,1,2,1,1,1
55,55,272156997,5,175000,3.2,15.0,170.0,5.0,5.0,37.59991717460963,55.74794865,1,1,0,2,1,1,2,2
56,56,274617827,5,190000,2.8,24.0,200.0,3.0,3.0,37.598259,55.7487532,0,2,0,2,1,1,1,2
57,57,274252871,3,240000,3.0,15.0,105.0,17.0,6.0,37.5768877,55.7485672,1,3,1,1,2,1,3,2
58,58,269132104,1,250000,3.0,30.0,60.0,12.0,2.0,37.6010652,55.7529963,1,2,0,2,1,1,1,1
59,59,273911217,5,250000,2.8,18.0,155.0,6.0,4.0,37.6003713,55.7522928,1,1,0,3,0,1,1,0
60,60,269716469,3,300000,3.0,15.0,134.0,16.0,8.0,37.5768877,55.7485672,1,2,1,2,2,1,2,2
61,61,274137125,5,500000,2.8,0.0,214.6,13.0,3.0,37.5800645,55.7488569,1,1,0,3,2,1,4,2
62,62,274140104,5,500000,3.2,15.0,204.0,14.0,2.0,37.5800645,55.7488569,1,2,0,1,1,1,4,2
63,63,271258034,5,500000,2.8,27.0,180.0,8.0,7.0,37.5871345,55.7510359,1,1,0,2,1,1,1,1
64,64,166833883,6,590000,2.8,18.0,260.0,8.0,6.0,37.5971883,55.7510351,1,2,0,3,0,5,4,2
65,65,273798495,4,650000,2.8,18.0,237.1,11.0,7.0,37.5868893,55.7515134,1,2,0,3,2,1,3,0
66,66,274810876,4,700000,2.8,12.0,215.0,5.0,5.0,37.5884595,55.7466,1,2,0,2,0,1,3,0
67,67,274199925,3,115000,2.8,0.0,100.0,3.0,2.0,37.6003713,55.7522928,1,2,0,1,1,1,1,1
68,68,274223065,2,120000,2.8,24.0,60.0,6.0,3.0,37.5904659,55.7504695,1,2,0,3,0,1,1,0
